0,power,lat,lon,id,source,location:transition,line_attachment,material,line_management,design,ref,description,operator,operator:wikidata,structure,colour,line_arrangement,mapillary,operator:wikipedia,cables,disused,fixme
0,tower,41.1880225,-8.6770614,1243615790,,,,,,,,,,,,,,,,,,
1,tower,41.1881361,-8.677345,1243615910,,,,,,,,,,,,,,,,,,
2,tower,41.2070765,-8.5124084,1297803156,,,,,,,,,,,,,,,,,,
3,tower,41.0819738,-8.588154,1319941718,,,,,,,,,,,,,,,,,,
4,tower,41.0865949,-8.5855259,1319942202,,,,,,,,,,,,,,,,,,
5,tower,41.0787484,-8.5947127,1319949486,,,,,,,,,,,,,,,,,,
6,tower,41.0799074,-8.5927746,1319952296,,,,,,,,,,,,,,,,,,
7,tower,41.0820169,-8.5872516,1319957867,,,,,,,,,,,,,,,,,,
8,tower,41.0866223,-8.6172385,1320271449,,,,,,,,,,,,,,,,,,
9,tower,41.0845532,-8.6131117,1320272316,,,,,,,,,,,,,,,,,,
10,tower,41.069883,-8.6104031,1320272813,,,,,,,,,,,,,,,,,,
11,tower,41.0843633,-8.6134457,1320273524,,,,,,,,,,,,,,,,,,
12,tower,41.0780902,-8.6119822,1320274673,,,,,,,,,,,,,,,,,,
13,tower,41.0721377,-8.6109501,1320281090,,,,,,,,,,,,,,,,,,
14,tower,41.0762936,-8.6052887,1320281185,,,,,,,,,,,,,,,,,,
15,tower,41.085475,-8.6151025,1320289736,,,,,,,,,,,,,,,,,,
16,tower,41.0962178,-8.6054804,1322615504,,,,,,,,,,,,,,,,,,
17,tower,41.1140138,-8.6031968,1322617451,,,,,,,,,,,,,,,,,,
18,tower,41.1111738,-8.603581,1322617809,,,,,,,,,,,,,,,,,,
19,tower,41.1009264,-8.6033657,1322618895,,,,,,,,,,,,,,,,,,
20,tower,41.1127673,-8.6032331,1322623612,,,,,,,,,,,,,,,,,,
21,tower,41.1048246,-8.6022765,1322654166,,,,,,,,,,,,,,,,,,
22,tower,41.1184303,-8.6030897,1322681572,,,,,,,,,,,,,,,,,,
23,tower,41.108464,-8.6028035,1322688154,,,,,,,,,,,,,,,,,,
24,tower,41.1160747,-8.5516267,1324680873,,,,,,,,,,,,,,,,,,
25,tower,41.1045964,-8.6092127,1328040782,,,,,,,,,,,,,,,,,,
26,tower,41.1021009,-8.6056587,1328042669,,,,,,,,,,,,,,,,,,
27,tower,41.108387,-8.6109589,1328043213,,,,,,,,,,,,,,,,,,
28,tower,41.1031194,-8.6070313,1328043227,,,,,,,,,,,,,,,,,,
29,tower,41.1109154,-8.6121244,1328043476,,,,,,,,,,,,,,,,,,
30,tower,41.0905784,-8.6184636,1328043977,,,,,,,,,,,,,,,,,,
31,tower,41.0996312,-8.6084022,1328161374,,,,,,,,,,,,,,,,,,
32,tower,41.058164,-8.5472685,1329760277,,,,,,,,,,,,,,,,,,
33,tower,41.059468,-8.5297184,1329767462,,,,,,,,,,,,,,,,,,
34,tower,41.0479619,-8.5464907,1329767910,,,,,,,,,,,,,,,,,,
35,tower,41.0444025,-8.5715493,1329770132,,,,,,,,,,,,,,,,,,
36,tower,41.0583645,-8.544319,1329770692,,,,,,,,,,,,,,,,,,
37,tower,41.0397108,-8.5435956,1329770732,,,,,,,,,,,,,,,,,,
38,tower,41.043265,-8.53606,1329771465,,,,,,,,,,,,,,,,,,
39,tower,41.0586719,-8.5402077,1329782745,,,,,,,,,,,,,,,,,,
40,tower,41.0442091,-8.5651853,1329782847,,,,,,,,,,,,,,,,,,
41,tower,41.0525502,-8.5492942,1329782880,,,,,,,,,,,,,,,,,,
42,tower,41.0420652,-8.5444111,1329783440,,,,,,,,,,,,,,,,,,
43,tower,41.0462999,-8.545896,1329783458,,,,,,,,,,,,,,,,,,
44,tower,41.0438219,-8.5525131,1329783501,,,,,,,,,,,,,,,,,,
45,tower,41.0577564,-8.5515543,1329783515,,,,,,,,,,,,,,,,,,
46,tower,41.0590032,-8.5357957,1329784239,,,,,,,,,,,,,,,,,,
47,tower,41.0431156,-8.5288518,1329784250,,,,,,,,,,,,,,,,,,
48,tower,41.0563158,-8.5545807,1329784292,,,,,,,,,,,,,,,,,,
49,tower,41.0447141,-8.5821742,1329784549,,,,,,,,,,,,,,,,,,
50,tower,41.0440886,-8.5612525,1329784826,,,,,,,,,,,,,,,,,,
51,tower,41.050323,-8.5479178,1329784854,,,,,,,,,,,,,,,,,,
52,tower,41.0580322,-8.5487476,1329784911,,,,,,,,,,,,,,,,,,
53,tower,41.0574075,-8.5551198,1329785058,,,,,,,,,,,,,,,,,,
54,tower,41.0588159,-8.538337,1329786033,,,,,,,,,,,,,,,,,,
55,tower,41.0436112,-8.5455542,1329786278,,,,,,,,,,,,,,,,,,
56,tower,41.0543687,-8.5518371,1329786405,,,,,,,,,,,,,,,,,,
57,tower,41.0824326,-8.4599369,1332814296,,,,,,,,,,,,,,,,,,
58,tower,41.0767577,-8.4521183,1332814349,,,,,,,,,,,,,,,,,,
59,tower,41.0620422,-8.466997,1332814410,,,,,,,,,,,,,,,,,,
60,tower,41.0625979,-8.4643192,1332814430,,,,,,,,,,,,,,,,,,
61,tower,41.098375,-8.4675832,1332814523,,,,,,,,,,,,,,,,,,
62,tower,41.0843767,-8.4612342,1332814654,,,,,,,,,,,,,,,,,,
63,tower,41.0563564,-8.4789711,1332814739,,,,,,,,,,,,,,,,,,
64,tower,41.0717046,-8.4483823,1332814755,,,,,,,,,,,,,,,,,,
65,tower,41.051343,-8.4853301,1332814815,,,,,,,,,,,,,,,,,,
66,tower,41.1198609,-8.4740237,1332814852,,,,,,,,,,,,,,,,,,
67,tower,41.09443,-8.4658433,1332814976,,,,,,,,,,,,,,,,,,
68,tower,41.0686888,-8.4499681,1332815024,,,,,,,,,,,,,,,,,,
69,tower,41.0495044,-8.5010447,1332815086,,,,,,,,,,,,,,,,,,
70,tower,41.1156428,-8.4734444,1332815207,,,,,,,,,,,,,,,,,,
71,tower,41.0825131,-8.4591586,1332815265,,,,,,,,,,,,,,,,,,
72,tower,41.04769,-8.5154366,1332815318,,,,,,,,,,,,,,,,,,
73,tower,41.0554267,-8.4809069,1332815379,,,,,,,,,,,,,,,,,,
74,tower,41.0923769,-8.4648284,1332815463,,,,,,,,,,,,,,,,,,
75,tower,41.0577262,-8.4760903,1332815513,,,,,,,,,,,,,,,,,,
76,tower,41.0667978,-8.450896,1332815527,,,,,,,,,,,,,,,,,,
77,tower,41.0496115,-8.4959493,1332815594,,,,,,,,,,,,,,,,,,
78,tower,41.1090639,-8.4725671,1332815729,,,,,,,,,,,,,,,,,,
79,tower,41.0765593,-8.449565,1332815826,,,,,,,,,,,,,,,,,,
