0	power	lat	lon	id	line_attachment	material	operator	source	design	ref	description	line_management	location:transition	structure	colour	cables	voltage	tower:type
0	tower	41.1879988	-8.6770547	1243615790						NA						NA	NA	
1	tower	41.1881434	-8.6773346	1243615910						NA						NA	NA	
2	tower	41.1881137	-8.6775332	1243616161						NA						NA	NA	
3	tower	41.2070765	-8.5124084	1297803156						NA						NA	NA	
4	tower	41.0885291	-8.58639	1319941351						NA						NA	NA	
5	tower	41.0819738	-8.588154	1319941718						NA						NA	NA	
6	tower	41.0865949	-8.5855259	1319942202						NA						NA	NA	
7	tower	41.0787484	-8.5947127	1319949486						NA						NA	NA	
8	tower	41.0798786	-8.5927585	1319952296						NA						NA	NA	
9	tower	41.0849277	-8.5846041	1319956069						NA						NA	NA	
10	tower	41.0820169	-8.5872516	1319957867						NA						NA	NA	
11	tower	41.0866152	-8.6173029	1320271449						NA						NA	NA	
12	tower	41.0845532	-8.6131117	1320272316						NA						NA	NA	
13	tower	41.0691088	-8.6099025	1320272813						NA						NA	NA	
14	tower	41.0843714	-8.6134189	1320273524						NA						NA	NA	
15	tower	41.0774283	-8.6117049	1320274673						NA						NA	NA	
16	tower	41.0762936	-8.6052887	1320281185						NA						NA	NA	
17	tower	41.0780835	-8.6119933	1320288678						NA						NA	NA	
18	tower	41.085475	-8.6151025	1320289736						NA						NA	NA	
19	tower	41.0962178	-8.6054804	1322615504						NA						NA	NA	
20	tower	41.1140138	-8.6031968	1322617451						NA						NA	NA	
21	tower	41.1111738	-8.603581	1322617809						NA						NA	NA	
22	tower	41.1009264	-8.6033657	1322618895						NA						NA	NA	
23	tower	41.1127673	-8.6032331	1322623612						NA						NA	NA	
24	tower	41.1110518	-8.6032029	1322629656	suspension	metal	EDP Distribuição			NA						NA	NA	
25	tower	41.1029308	-8.6044435	1322648933						NA						NA	NA	
26	tower	41.1048246	-8.6022765	1322654166						NA						NA	NA	
27	tower	41.1055772	-8.6047159	1322654329						NA						NA	NA	
28	tower	41.1184237	-8.6031065	1322681572						NA						NA	NA	
29	tower	41.108464	-8.6028035	1322688154						NA						NA	NA	
30	tower	41.1067786	-8.6061439	1322689592						NA						NA	NA	
31	tower	41.1126103	-8.6017753	1322696581						NA						NA	NA	
32	tower	41.1087558	-8.6062806	1322699391						NA						NA	NA	
33	tower	41.1160567	-8.5516062	1324680873						NA						NA	NA	
34	tower	41.1045964	-8.6092127	1328040782						NA						NA	NA	
35	tower	41.0978599	-8.6083024	1328041827						NA						NA	NA	
36	tower	41.1020983	-8.6056587	1328042669						NA						NA	NA	
37	tower	41.108387	-8.6109589	1328043213						NA						NA	NA	
38	tower	41.1031331	-8.6070576	1328043227						NA						NA	NA	
